Date,vfinx,veurx,veiex,vbltx,vbisx,vpacx,UI_pct_chg,CRU_oil_chg,EUI_pct_chg,EURUSD_chg,GBPUSD_chg,ADVER_chg,Nasdaq_chg,USD/JYP_chg
3/31/14,0.007940687,0.005719755,0.009426596,0.002137135,0.002099677,0.005342868,-0.001,-0.0009,0.0011,0.0013,0.0015,-0.0126,0.0065,0.004
4/1/14,0.007125037,0.007898906,0.00739294,-0.006092948,0,0.003542982,0,-0.0181,0.0022,0.0017,-0.002,0.0029,0.0178,0.0041
4/2/14,0.002990937,-0.001253894,0.002703731,-0.003831364,-0.001904798,0.003530381,0.0015,-0.0012,-0.0013,-0.002,-0.0002,0.0055,0.0022,0.0023
4/3/14,-0.001089587,-0.002510969,-0.006163303,0.0038461,0,-0.001758935,0.0034,0.0067,-0.0021,-0.0034,-0.0016,0.0031,-0.0075,0.0004
4/4/14,-0.012515117,-0.001888043,-0.003875923,0.00536396,0.001908433,-0.003524252,-0.0009,0.0085,-0.0018,-0.0012,-0.0011,-0.0021,-0.0257,-0.0062
4/7/14,-0.010755135,-0.005044137,0.00739294,0.005335342,0.000952399,-0.005305075,-0.0026,-0.0069,0.0018,0.0028,0.0018,-0.0111,-0.0108,-0.0016
4/8/14,0.004055023,0.003168606,0.00772502,0.001516329,0,-0.000888895,-0.0066,0.0211,0.0005,0.004,0.0083,-0.0047,0.0084,-0.0126
4/9/14,0.01100374,0.013581806,0.010348806,-0.003027984,0.000951493,0.008896857,-0.0035,0.0101,0.0036,0.0043,0.0027,0.0018,0.0177,0.0017
4/10/14,-0.02084172,-0.015581167,-0.008346014,0.006833717,0.000950491,-0.019400389,-0.0013,-0.0019,0.002,0.0023,-0.0005,-0.0175,-0.0309,-0.0044
4/11/14,-0.009401126,-0.010129789,-0.003060431,0.00527901,0,-0.000899287,0.0009,0.0033,0.0003,-0.0002,-0.0031,-0.0028,-0.0103,0.0008
4/14/14,0.008177216,0.003837502,0.00345356,-0.002250483,-0.000949588,0.009901056,0.0036,0.003,-0.0009,-0.0046,-0.0002,0.007,0.0076,0.0023
4/15/14,0.006749155,-0.004141432,-0.011854672,0.004511199,0,-0.004456358,0.001,-0.0029,-0.0003,-0.0005,0.0001,-0.0048,0.0061,0.0009
4/16/14,0.010526272,0.009916834,0.002709003,0.000748558,-0.000950588,0.012533562,-0.0001,0.0001,0.0005,0.0001,0.0041,0.0524,0.0029,0.0029
4/17/14,0.001396681,0.004117853,0.00964875,-0.008227406,-0.000951493,0.000884179,0.0003,0.0052,0.0004,-0.0001,-0.0003,-0.009,0.0062,0.0016
4/21/14,0.003777278,0.000630869,0,-0.000754121,0,0.000883398,0.0016,0.0007,-0.0012,-0.0016,-0.0009,0.0013,0.0079,0.002
4/22/14,0.004110499,0.010403526,-0.002675825,0.002264152,0,0,-0.0004,-0.0215,0.0003,0.0009,0.0019,0,0.0095,0
4/23/14,-0.002075649,-0.003432103,-0.006132593,0.004518075,0,-0.002647855,-0.0007,-0.0068,0.0009,0.0009,-0.0024,-0.0171,-0.0085,-0.0008
4/24/14,0.001675487,0.002817728,0.000771314,0.001499197,0,-0.000884962,-0.0008,0.0049,0.0006,0.0012,0.0013,0.0039,0.0085,-0.0021
4/25/14,-0.008075178,-0.006556324,-0.012331478,0.000748558,0.000952399,-0.005314473,-0.0008,-0.0131,0.0001,0,0,-0.0136,-0.0151,-0.0015
4/28/14,0.003314485,0.004714023,0.003901713,-0.003739745,-0.000951493,0.001780956,-0.0008,0.0024,0.001,0.0012,0.0001,-0.0134,0.0029,0.0032
4/29/14,0.004752561,0.008445483,0.005441169,0,0.000952399,0.001777883,0.0015,0.0044,-0.0024,-0.0027,0.0012,-0.0024,0.0065,0.0014
4/30/14,0.002999563,0.006823752,-0.001546247,0.006478826,0.001809399,-0.00088741,-0.0044,-0.0152,0.0019,0.004,0.0027,0.0012,0.0027,-0.0037
5/1/14,-5.76E-05,0.000616163,0.00038715,0.00748508,0,0.004440527,0.0006,-0.0032,0.0001,0.0001,0.0012,-0.004,0.0038,0.0008
5/2/14,-0.001380284,-0.001847352,0.005804966,0.00520054,-0.000950554,0,-0.0003,0.0034,0,0.0001,-0.0016,0.0038,-0.0021,-0.0015
5/5/14,0.001958162,-0.000925304,-0.001154341,-0.004434475,0,-0.000884179,-0.0004,-0.0028,0.0009,0.0004,-0.0001,-0.0022,0.0032,-0.0005
5/6/14,-0.008967048,-0.001852354,0.00231131,0.003711937,0,-0.000884962,-0.005,0.0002,0.0013,0.0037,0.0067,-0.0024,-0.0111,-0.0044
5/7/14,0.006032092,0.004020953,0.006149131,-0.002218957,0.000951459,-0.004428728,0.0014,0.0128,-0.0006,-0.0011,-0.0014,-0.0113,-0.003,0.0023
5/8/14,-0.001095429,0.000308131,-0.000763989,-0.002965163,0.000950457,0,0.002,-0.0051,-0.0049,-0.0051,-0.0012,0.0031,-0.0008,-0.0026
5/9/14,0.001673837,-0.003695809,0.002675865,-0.002973981,0,0.003558743,0.0071,-0.0027,-0.0041,-0.0059,-0.0048,0.0079,0.003,0.002
5/12/14,0.009680163,0.007109859,0.01029357,-0.002982852,-0.000949554,0.003546123,0.0001,0.006,0.0001,-0.0002,0.001,0.0169,0.0168,0.0026
5/13/14,0.000684875,-0.002455576,0.002641494,0.005983552,0.000950457,0.00795049,0.003,0.011,-0.0033,-0.0039,-0.0025,0.0022,0.0003,0.0014
5/14/14,-0.004505323,-0.000307621,0.007527315,0.008921863,0.000949749,0,-0.0009,0.0066,0.0008,0.0008,-0.0036,-0.0071,-0.0035,-0.0036
5/15/14,-0.009223194,-0.004309129,-0.005976854,0.005158544,0,-0.002629198,-0.001,-0.0085,-0.0005,-0.0003,0.0014,-0.0078,-0.0092,-0.003
5/16/14,0.003758361,0.001236517,0.009019168,-0.002932555,0,0.002636129,0.0006,0.0051,-0.0015,-0.0012,0.0016,-0.0028,0.0055,-0.0006
5/19/14,0.003917013,-0.00123499,0.004096793,-0.005147164,0,-0.005258489,-0.0007,0.0058,0.0008,0.001,-0.0002,-0.001,0.0085,-0.0001
5/20/14,-0.006483848,-0.004327646,-0.010756657,0.001478238,0.000948751,-0.008810631,0.0005,-0.0017,-0.0007,-0.0004,0.0015,-0.007,-0.0046,-0.0018
5/21/14,0.00825878,0.008693044,0.008623921,-0.00442801,0,0.008888948,0.0007,0.0159,-0.0017,-0.0012,0.0038,-0.0034,0.0103,0.0005
5/22/14,0.002520348,-0.001846783,0.006691471,-0.001482541,-0.000947851,0.005286286,0.002,-0.0032,-0.0013,-0.0023,-0.0019,0.014,0.004,0.0035
5/23/14,0.004228033,0.000925051,0.004062036,0.002969485,0,0.007887871,0.0017,0.0059,-0.0003,-0.0016,-0.0023,0.0052,0.0074,0.0024
5/27/14,0.005974074,0.008009929,-0.009562348,0.005181373,0.000948751,0.004347855,-0.0005,-0.0016,-0.0004,-0.0008,-0.002,0.0116,0.0092,0.0004
5/28/14,-0.000961475,-0.003973156,0.002970653,0.008836535,0,-0.000865897,0.0026,-0.0134,-0.0023,-0.0032,-0.0059,-0.0158,-0.0014,-0.0015
5/29/14,0.005491403,0.003068398,0.001851144,-0.002919711,0,0.008665569,-0.001,0.0084,0.0006,0.0008,0.0004,-0.004,0.0052,-0.0004
5/30/14,0.001858015,0.000611796,-0.009977762,0.002717917,0.000948726,-0.001718225,-0.0017,-0.0084,0.0022,0.0021,0.0021,-0.0068,0,-0.0002
6/2/14,0.000842944,0,0.002986177,-0.005860795,-0.000947827,0.005163546,0.0036,-0.0023,-0.0012,-0.0025,-0.0004,-0.001,-0.0021,0.006
6/3/14,-0.000336897,-0.00275143,0.004838075,-0.009579969,-0.000948824,0.00085608,-0.0012,0.0019,0.0022,0.0022,0.0002,0.0016,0.0009,0.0011
6/4/14,0.002022134,-0.001226152,-0.003703698,-0.000744036,0,0.002566403,0.0015,-0.0002,-0.0019,-0.0021,-0.0007,0,0.0034,0.0024
6/5/14,0.006614768,0.009208051,0.007806723,0.00074459,0,0.001706407,-0.0038,-0.0016,0.0031,0.0045,0.005,0.0182,0.0088,-0.0035
6/6/14,0.004789137,0.006082766,0.008852824,0,0,0.001703589,0.0004,0.0018,-0.0015,-0.0013,-0.0011,0.005,0.0058,0.0009
6/9/14,0.000942265,-0.001813845,0.005118799,0,-0.000949627,-0.001700692,0.0031,0.017,-0.0031,-0.0035,0,0.0048,-0.0011,0.0005
6/10/14,-0.000221532,0,0.006911629,-0.002976225,-0.00095053,-0.000851794,0.0021,-0.0006,-0.003,-0.0033,-0.0028,-0.0016,0.0018,-0.0017
6/11/14,-0.003433731,-0.006965434,-0.003251475,0.000746338,0.000951434,0.000852521,-0.0005,0.0005,-0.0015,-0.0012,0.0019,-0.0036,-0.0006,-0.0027
6/12/14,-0.006835591,0.000914863,-0.002174683,0.006711387,0,-0.000851794,-0.0027,0.0204,-0.0003,0.0015,0.0083,-0.0133,-0.0071,-0.0035
6/13/14,0.003133554,-0.001523431,0.001089692,-0.000740729,-0.00095053,0.003410083,0.0009,0.0036,-0.0009,-0.0008,0.0022,0.0016,0.0012,0.0034
6/16/14,0.000836696,-0.000915453,-0.003991252,0.001482557,0,-0.000849623,-0.0024,-0.0001,0.0022,0.0024,0.0011,0.0036,0.0009,-0.0023
6/17/14,0.002173666,0.000916292,-0.002550153,-0.005921529,-0.000951532,-0.002551037,0.0031,-0.0051,-0.0013,-0.0021,-0.0011,0.005,0.0001,0.0029
6/18/14,0.007730382,0.007323692,0.008400369,0.005212212,0.000952438,0.008525206,-0.0006,-0.0037,0.0031,0.0037,0.0016,0.0119,0.0064,-0.0022
6/19/14,0.001434931,0.002120688,-0.001448802,-0.008148104,0,0.009298279,-0.0033,0.0043,0.0018,0.0009,0.0028,0.0051,-0.0016,0.0002
6/20/14,0.001726586,-0.001511586,-0.001813544,0.005227702,0,-0.001674965,0.0005,0.0078,-0.0001,-0.0007,-0.0017,0.0025,0.0035,0.0014
6/23/14,-0.000110431,-0.002275901,-0.00322721,-0.002228792,0,-0.00295727,-0.0012,-0.0102,0.0002,0.0004,0.0009,0.0047,-0.0042,-0.0013
6/24/14,-0.006353992,-0.007398206,-0.000367931,0.008190573,0.000951434,-0.001694918,0.0006,-0.0013,0.0007,0,-0.0024,0.0016,0,0.0002
6/25/14,0.004893268,-0.002795058,0.00110416,0.001477162,0,0.001697796,-0.0015,0.0044,0.0019,0.0018,-0.0001,0.001,0.0053,-0.0009
6/26/14,-0.000996062,-0.001245744,0.002941203,0.004424791,0.00095053,0.00423734,0.0001,-0.0062,-0.0018,-0.0013,0.0025,0.011,0.0007,-0.0015
6/27/14,0.001938663,0.002806388,0.000366544,-0.002202689,0,-0.000843927,-0.0024,-0.0009,0.002,0.0027,0.0005,0.0128,0.0037,-0.0034
