Date,Price,Open,High,Low,Vol.,Change %
27-May-14,80.41,80.33,80.52,80.22,12.49K,-0.05%
28-May-14,80.62,80.4,80.63,80.38,13.97K,0.26%
29-May-14,80.54,80.61,80.61,80.4,12.37K,-0.10%
30-May-14,80.4,80.53,80.55,80.35,10.07K,-0.17%
2-Jun-14,80.69,80.41,80.73,80.41,21.37K,0.36%
3-Jun-14,80.59,80.69,80.72,80.47,13.46K,-0.12%
4-Jun-14,80.71,80.6,80.72,80.51,13.36K,0.15%
5-Jun-14,80.4,80.69,81.06,80.34,53.91K,-0.38%
6-Jun-14,80.43,80.4,80.56,80.27,26.06K,0.04%
9-Jun-14,80.68,80.44,80.7,80.33,17.92K,0.31%
10-Jun-14,80.85,80.64,80.89,80.58,19.33K,0.21%
11-Jun-14,80.81,80.83,80.92,80.69,25.40K,-0.05%
12-Jun-14,80.59,80.78,80.84,80.54,19.60K,-0.27%
13-Jun-14,80.66,80.59,80.72,80.45,13.68K,0.09%
16-Jun-14,80.47,80.64,80.71,80.5,1.33K,-0.24%
17-Jun-14,80.72,80.56,80.76,80.48,10.82K,0.31%
18-Jun-14,80.67,80.7,80.97,80.47,20.25K,-0.06%
19-Jun-14,80.4,80.47,80.52,80.24,25.78K,-0.33%
20-Jun-14,80.44,80.37,80.58,80.28,13.79K,0.05%
23-Jun-14,80.34,80.44,80.47,80.31,9.91K,-0.12%
24-Jun-14,80.39,80.36,80.5,80.25,15.47K,0.06%
25-Jun-14,80.27,80.39,80.41,80.14,27.80K,-0.15%
26-Jun-14,80.28,80.25,80.44,80.19,19.95K,0.01%
27-Jun-14,80.09,80.25,80.27,80.06,16.75K,-0.24%
30-Jun-14,79.81,80.08,80.12,79.8,24.94K,-0.35%
1-Jul-14,79.84,79.84,79.89,79.77,18.40K,0.04%
2-Jul-14,79.98,79.86,80.03,79.83,15.15K,0.18%
3-Jul-14,80.28,79.99,80.6,79.97,23.38K,0.38%
4-Jul-14,80.28,80.27,80.36,80.24,2.86K,0.00%
7-Jul-14,80.27,80.33,80.41,80.24,11.01K,-0.01%
8-Jul-14,80.22,80.27,80.34,80.19,7.89K,-0.06%
9-Jul-14,80.04,80.19,80.28,80.03,18.69K,-0.22%
10-Jul-14,80.17,80.06,80.25,80.02,13.26K,0.16%
11-Jul-14,80.23,80.19,80.28,80.07,11.98K,0.07%
14-Jul-14,80.23,80.22,80.28,80.12,8.43K,0.00%
15-Jul-14,80.45,80.21,80.47,80.17,26.23K,0.27%
16-Jul-14,80.62,80.42,80.66,80.42,16.34K,0.21%
17-Jul-14,80.57,80.59,80.67,80.54,13.44K,-0.06%
18-Jul-14,80.59,80.61,80.75,80.55,20.98K,0.02%
21-Jul-14,80.63,80.58,80.67,80.49,11.52K,0.05%
22-Jul-14,80.86,80.64,80.92,80.61,31.96K,0.29%
23-Jul-14,80.92,80.87,80.92,80.81,14.12K,0.07%
24-Jul-14,80.96,80.89,80.98,80.81,17.43K,0.05%
25-Jul-14,81.12,80.94,81.2,80.9,24.57K,0.20%
28-Jul-14,81.12,81.15,81.16,81.06,11.56K,0.00%
29-Jul-14,81.31,81.09,81.34,81.08,15.27K,0.23%
30-Jul-14,81.52,81.29,81.64,81.28,29.80K,0.26%
31-Jul-14,81.52,81.5,81.66,81.47,24.11K,0.00%
1-Aug-14,81.38,81.53,81.61,81.27,33.88K,-0.17%
4-Aug-14,81.41,81.39,81.46,81.36,11.58K,0.04%
5-Aug-14,81.61,81.4,81.7,81.37,24.50K,0.25%
6-Aug-14,81.51,81.61,81.78,81.47,27.74K,-0.12%
7-Aug-14,81.61,81.5,81.72,81.45,27.73K,0.12%
